artist_name,release_name,song_name
"Marcos De Luca","Gauchito Antonio Gil","Federal Y Rosista"
"Marcos De Luca","Gauchito Antonio Gil","Abundancia Total Buena Fortuna Sin Limites Ser Dorado"
"Marcos De Luca","Gauchito Antonio Gil","Mami Wity Maternal Magia"
"Marcos De Luca","Gauchito Antonio Gil","Grito Del Alma"
"Marcos De Luca","Gauchito Antonio Gil","Gauchito Antonio Gil"
"Marcos De Luca","Gauchito Antonio Gil","Atraigo Paz Y Fortuna Soy Un Iman"
"KUERPO ASTR4L","Mantra Relajacion ","Mantra Master"
Kidolitx,"Mi Corazón Estalla Por Tu Amor Mi Amor","Mi Corazón Estalla Por Tu Amor Mi Amor"
"Alex Malajunta","Vida Virtual ","No Toy en Ti"
"Alex Malajunta","Vida Virtual ","Mi Pueblo"
"Alex Malajunta","Vida Virtual ","El Juidero"
"Alex Malajunta","Vida Virtual ","Se Me Nota"
